name,calories,protein,carbs,fat,category,veg
Mulberry (100g),43,1.4,9.8,0.4,Fruits,True
Lemon (1 piece),17,0.6,5.4,0.2,Fruits,True
Sweet Lime Mosambi (100g),43,0.8,9.3,0.3,Fruits,True
Starfruit (100g),31,1.0,6.7,0.3,Fruits,True
Dragon Fruit (100g),60,1.2,13.0,0.4,Fruits,True
Avocado (100g),160,2.0,9.0,15.0,Fruits,True
Blueberry (100g),57,0.7,14.0,0.3,Fruits,True
Raspberry (100g),52,1.2,12.0,0.7,Fruits,True
Blackberry (100g),43,1.4,10.0,0.5,Fruits,True
Passion Fruit (100g),97,2.2,23.0,0.7,Fruits,True
Raisins (30g),90,0.9,22.0,0.1,Fruits,True
Prunes (30g),72,0.7,19.0,0.1,Fruits,True
Apricot (100g),48,1.4,11.0,0.4,Fruits,True
Cranberry (100g),46,0.4,12.0,0.1,Fruits,True
Longan (100g),60,1.3,15.0,0.1,Fruits,True
Paneer Tikka Masala (100g),260,14.0,9.0,19.0,Dairy,True
Dahi Tadka (100g),80,4.5,6.0,4.5,Dairy,True
Cheese Paratha (1 piece),320,10.0,36.0,15.0,Dairy,True
Mozzarella (30g),85,6.3,0.6,6.3,Dairy,True
Cottage Cheese (100g),98,11.0,3.4,4.3,Dairy,True
Hung Curd (100g),120,8.5,5.0,7.5,Dairy,True
Whipped Cream (30g),100,0.6,0.9,10.5,Dairy,True
Fruit Yogurt (100g),100,4.0,17.0,2.0,Dairy,True
Flavoured Milk (200ml),130,6.0,19.0,3.5,Dairy,True
Kheer Vermicelli (100g),175,4.5,28.0,5.5,Dairy,True
Groundnut Oil 1 tbsp,120,0.0,0.0,13.6,Oils,True
Palm Oil 1 tbsp,120,0.0,0.0,13.6,Oils,True
Flaxseed Oil 1 tbsp,120,0.0,0.0,13.6,Oils,True
Pickle Mango 1 tsp,20,0.1,1.5,1.5,Oils,True
Pickle Lime 1 tsp,18,0.1,1.2,1.5,Oils,True
Peanut Chutney 2 tbsp,100,4.0,4.5,8.0,Oils,True
Garlic Chutney 1 tbsp,30,0.8,4.0,1.2,Oils,True
Schezwan Sauce 1 tbsp,35,0.5,5.0,1.5,Oils,True
Soy Sauce 1 tbsp,10,1.0,1.0,0.0,Oils,True
Vinegar 1 tbsp,3,0.0,0.7,0.0,Oils,True
Multivitamin Gummy (2 pieces),15,0.0,4.0,0.0,Supplements,True
Fish Oil Capsule (1g),9,0.0,0.0,1.0,Supplements,False
Oat Protein Bar,210,18.0,24.0,6.0,Supplements,True
Soya Protein Powder 1 scoop,110,22.0,4.0,1.0,Supplements,True
Pea Protein 1 scoop,115,21.0,3.5,2.0,Supplements,True
Rice Protein 1 scoop,110,20.0,5.0,2.0,Supplements,True
Spirulina Powder 1 tsp,20,4.0,1.7,0.5,Supplements,True
Chia Seeds 1 tbsp,58,2.0,5.0,3.7,Supplements,True
Flaxseeds 1 tbsp,55,1.9,3.0,4.3,Supplements,True
Hemp Seeds 1 tbsp,57,3.3,1.0,4.5,Supplements,True
